57,2019/12/05,11001186,252
81,2019/12/10,11001186,252
86,2019/12/12,11001186,84
115,2019/12/16,11001186,126
123,2019/12/17,11001186,126
7,2019/12/18,11001186,315
136,2019/12/19,11001186,63
171,2019/12/21,11001186,63
239,2019/12/23,11001186,126
282,2019/12/25,11001186,126
303,2019/12/27,11001186,588
339,2019/12/28,11001186,126
371,2019/12/30,11001186,252
413,2019/12/31,11001186,1186
476,2020/01/01,11001186,126
534,2020/01/02,11001186,126
602,2020/01/03,11001186,63
600,2020/01/06,11001186,441
715,2020/01/08,11001186,126
773,2020/01/09,11001186,42
47,2020/01/10,11001186,147
831,2020/01/13,11001186,252
952,2020/01/14,11001186,273
969,2020/01/15,11001186,882
1064,2020/01/16,11001186,504
1093,2020/01/17,11001186,210
1171,2020/01/20,11001186,630
1246,2020/01/21,11001186,630
1321,2020/01/22,11001186,1008
1353,2020/01/23,11001186,1092
1459,2020/01/24,11001186,252
1468,2020/01/27,11001186,567
1590,2020/01/28,11001186,472
1672,2020/01/29,11001186,567
1738,2020/01/30,11001186,903
1802,2020/01/31,11001186,126
1883,2020/02/03,11001186,252
1959,2020/02/04,11001186,336
68,2020/02/05,11001186,819
2051,2020/02/06,11001186,1512
38,2020/02/10,11001186,1260
2262,2020/02/11,11001186,441
2278,2020/02/12,11001186,882
2357,2020/02/13,11001186,315
2415,2020/02/14,11001186,283
27,2020/02/18,11001186,252
2569,2020/02/19,11001186,798
12,2020/02/20,11001186,3475
2722,2020/02/21,11001186,735
2760,2020/02/24,11001186,126
