285,2019/12/27,12365978,2574
364,2019/12/30,12365978,594
427,2019/12/31,12365978,396
520,2020/01/02,12365978,990
594,2020/01/03,12365978,1188
640,2020/01/07,12365978,2574
752,2020/01/09,12365978,594
798,2020/01/10,12365978,1584
815,2020/01/14,12365978,1188
1079,2020/01/17,12365978,1386
1185,2020/01/20,12365978,3168
1280,2020/01/21,12365978,792
1348,2020/01/22,12365978,396
1362,2020/01/23,12365978,1188
1558,2020/01/27,12365978,3366
1612,2020/01/28,12365978,396
1711,2020/01/29,12365978,792
1762,2020/01/30,12365978,396
1797,2020/01/31,12365978,1188
1864,2020/02/03,12365978,1386
1916,2020/02/04,12365978,3366
2148,2020/02/07,12365978,396
2344,2020/02/12,12365978,396
2366,2020/02/13,12365978,3564
2462,2020/02/14,12365978,2970
2498,2020/02/18,12365978,2376
2581,2020/02/19,12365978,594
2671,2020/02/20,12365978,198
