2019/12/10,12396696,224
2019/12/19,12396696,1540
2019/12/23,12396696,168
2019/12/24,12396696,616
2019/12/27,12396696,28
2019/12/30,12396696,2800
2019/12/31,12396696,224
2020/01/03,12396696,336
2020/01/06,12396696,4508
2020/01/07,12396696,28
2020/01/08,12396696,280
2020/01/09,12396696,196
2020/01/10,12396696,280
2020/01/13,12396696,420
2020/01/14,12396696,5124
2020/01/15,12396696,252
2020/01/16,12396696,1456
2020/01/17,12396696,84
2020/01/20,12396696,2268
2020/01/22,12396696,112
2020/01/24,12396696,3024
2020/01/27,12396696,1988
2020/01/28,12396696,1036
2020/01/29,12396696,11704
2020/01/30,12396696,392
2020/01/31,12396696,224
2020/02/03,12396696,1568
2020/02/04,12396696,1176
2020/02/05,12396696,364
2020/02/07,12396696,392
2020/02/10,12396696,812
2020/02/11,12396696,112
2020/02/12,12396696,476
2020/02/14,12396696,532
2020/02/18,12396696,476
2020/02/19,12396696,28
2020/02/20,12396696,168
2020/02/21,12396696,420
