2019/12/09,12320670,264
2019/12/16,12320670,594
2019/12/21,12320670,462
2019/12/23,12320670,660
2019/12/24,12320670,1386
2019/12/27,12320670,572
2019/12/29,12320670,330
2019/12/30,12320670,858
2019/12/31,12320670,418
2020/01/01,12320670,264
2020/01/02,12320670,330
2020/01/06,12320670,264
2020/01/07,12320670,1364
2020/01/08,12320670,396
2020/01/10,12320670,132
2020/01/13,12320670,1386
2020/01/14,12320670,924
2020/01/15,12320670,1276
2020/01/16,12320670,1078
2020/01/17,12320670,924
2020/01/20,12320670,2112
2020/01/21,12320670,1474
2020/01/22,12320670,506
2020/01/23,12320670,1210
2020/01/24,12320670,396
2020/01/27,12320670,3036
2020/01/28,12320670,1408
2020/01/29,12320670,506
2020/01/30,12320670,264
2020/01/31,12320670,440
2020/02/03,12320670,770
2020/02/04,12320670,110
2020/02/05,12320670,396
2020/02/06,12320670,726
2020/02/07,12320670,572
2020/02/10,12320670,1496
2020/02/11,12320670,286
2020/02/12,12320670,396
2020/02/13,12320670,572
2020/02/14,12320670,660
2020/02/15,12320670,396
2020/02/17,12320670,264
2020/02/18,12320670,132
2020/02/19,12320670,374
2020/02/20,12320670,1716
2020/02/21,12320670,704
2020/02/24,12320670,132
