77,2019/12/09,12320619,165
105,2019/12/16,12320619,726
187,2019/12/21,12320619,264
224,2019/12/23,12320619,660
265,2019/12/24,12320619,704
287,2019/12/27,12320619,308
341,2019/12/29,12320619,330
361,2019/12/30,12320619,880
406,2019/12/31,12320619,484
529,2020/01/01,12320619,132
522,2020/01/02,12320619,132
618,2020/01/06,12320619,132
671,2020/01/07,12320619,1628
729,2020/01/08,12320619,99
786,2020/01/10,12320619,264
844,2020/01/13,12320619,1793
909,2020/01/14,12320619,627
992,2020/01/15,12320619,836
1054,2020/01/16,12320619,858
1118,2020/01/17,12320619,528
1159,2020/01/20,12320619,2189
1215,2020/01/21,12320619,1936
1313,2020/01/22,12320619,341
1387,2020/01/23,12320619,1386
1420,2020/01/24,12320619,528
1479,2020/01/27,12320619,2574
1573,2020/01/28,12320619,1452
1676,2020/01/29,12320619,264
1751,2020/01/30,12320619,88
1834,2020/01/31,12320619,440
1878,2020/02/03,12320619,539
1951,2020/02/04,12320619,154
1999,2020/02/05,12320619,209
2074,2020/02/06,12320619,132
2115,2020/02/07,12320619,748
2195,2020/02/10,12320619,836
2254,2020/02/11,12320619,220
2322,2020/02/12,12320619,198
2363,2020/02/13,12320619,440
2431,2020/02/14,12320619,792
2479,2020/02/15,12320619,165
2493,2020/02/17,12320619,363
2546,2020/02/18,12320619,396
2573,2020/02/19,12320619,297
2634,2020/02/20,12320619,1144
2691,2020/02/21,12320619,616
2753,2020/02/24,12320619,132
